cellline	Cellcount	location[column]	location[plate]	location[row]	SeedingNumber	Untrt	location[well]	drug	drug[HMSLid]	durg[conc]=uM	readout[time]=h	pert_type	Date
BT20	154	3	0	12	312.5	1	L03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	83	3	0	13	156.25	1	M03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	53	3	0	14	156.25	1	N03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2599	4	0	3	5000	1	C04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2825	4	0	4	5000	1	D04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1290	4	0	5	2500	1	E04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1493	4	0	6	2500	1	F04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	611	4	0	7	1250	1	G04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	608	4	0	8	1250	1	H04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	283	4	0	9	625	1	I04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	313	4	0	10	625	1	J04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	141	4	0	11	312.5	1	K04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	155	4	0	12	312.5	1	L04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	76	4	0	13	156.25	1	M04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	69	4	0	14	156.25	1	N04	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2656	5	0	3	5000	1	C05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2818	5	0	4	5000	1	D05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1141	5	0	5	2500	1	E05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1467	5	0	6	2500	1	F05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	540	5	0	7	1250	1	G05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	646	5	0	8	1250	1	H05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	297	5	0	9	625	1	I05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	367	5	0	10	625	1	J05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	155	5	0	11	312.5	1	K05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	174	5	0	12	312.5	1	L05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	91	5	0	13	156.25	1	M05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	76	5	0	14	156.25	1	N05	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2611	6	0	3	5000	1	C06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2910	6	0	4	5000	1	D06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1248	6	0	5	2500	1	E06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1503	6	0	6	2500	1	F06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	498	6	0	7	1250	1	G06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	764	6	0	8	1250	1	H06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	322	6	0	9	625	1	I06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	358	6	0	10	625	1	J06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	142	6	0	11	312.5	1	K06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	181	6	0	12	312.5	1	L06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	82	6	0	13	156.25	1	M06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	65	6	0	14	156.25	1	N06	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2569	7	0	3	5000	1	C07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2861	7	0	4	5000	1	D07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1389	7	0	5	2500	1	E07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1598	7	0	6	2500	1	F07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	610	7	0	7	1250	1	G07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	689	7	0	8	1250	1	H07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	346	7	0	9	625	1	I07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	343	7	0	10	625	1	J07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	146	7	0	11	312.5	1	K07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	165	7	0	12	312.5	1	L07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	85	7	0	13	156.25	1	M07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	80	7	0	14	156.25	1	N07	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2689	8	0	3	5000	1	C08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2933	8	0	4	5000	1	D08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1398	8	0	5	2500	1	E08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1569	8	0	6	2500	1	F08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	621	8	0	7	1250	1	G08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	764	8	0	8	1250	1	H08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	395	8	0	9	625	1	I08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	353	8	0	10	625	1	J08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	168	8	0	11	312.5	1	K08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	130	8	0	12	312.5	1	L08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	90	8	0	13	156.25	1	M08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	89	8	0	14	156.25	1	N08	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2889	9	0	3	5000	1	C09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2880	9	0	4	5000	1	D09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1413	9	0	5	2500	1	E09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1493	9	0	6	2500	1	F09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	741	9	0	7	1250	1	G09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	777	9	0	8	1250	1	H09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	327	9	0	9	625	1	I09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	283	9	0	10	625	1	J09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	171	9	0	11	312.5	1	K09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	162	9	0	12	312.5	1	L09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	92	9	0	13	156.25	1	M09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	67	9	0	14	156.25	1	N09	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	3025	10	0	3	5000	1	C10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2798	10	0	4	5000	1	D10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1388	10	0	5	2500	1	E10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1466	10	0	6	2500	1	F10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	753	10	0	7	1250	1	G10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	701	10	0	8	1250	1	H10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	357	10	0	9	625	1	I10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	332	10	0	10	625	1	J10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	141	10	0	11	312.5	1	K10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	162	10	0	12	312.5	1	L10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	107	10	0	13	156.25	1	M10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	66	10	0	14	156.25	1	N10	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2782	11	0	3	5000	1	C11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2992	11	0	4	5000	1	D11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1554	11	0	5	2500	1	E11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1435	11	0	6	2500	1	F11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	720	11	0	7	1250	1	G11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	761	11	0	8	1250	1	H11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	358	11	0	9	625	1	I11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	359	11	0	10	625	1	J11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	155	11	0	11	312.5	1	K11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	153	11	0	12	312.5	1	L11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	72	11	0	13	156.25	1	M11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	69	11	0	14	156.25	1	N11	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2806	12	0	3	5000	1	C12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2848	12	0	4	5000	1	D12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1475	12	0	5	2500	1	E12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1540	12	0	6	2500	1	F12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	708	12	0	7	1250	1	G12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	720	12	0	8	1250	1	H12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	332	12	0	9	625	1	I12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	328	12	0	10	625	1	J12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	144	12	0	11	312.5	1	K12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	137	12	0	12	312.5	1	L12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	88	12	0	13	156.25	1	M12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	56	12	0	14	156.25	1	N12	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2945	13	0	3	5000	1	C13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2915	13	0	4	5000	1	D13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1417	13	0	5	2500	1	E13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1544	13	0	6	2500	1	F13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	697	13	0	7	1250	1	G13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	698	13	0	8	1250	1	H13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	311	13	0	9	625	1	I13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	345	13	0	10	625	1	J13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	130	13	0	11	312.5	1	K13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	159	13	0	12	312.5	1	L13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	53	13	0	13	156.25	1	M13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	74	13	0	14	156.25	1	N13	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2754	14	0	3	5000	1	C14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2826	14	0	4	5000	1	D14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1391	14	0	5	2500	1	E14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1529	14	0	6	2500	1	F14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	770	14	0	7	1250	1	G14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	680	14	0	8	1250	1	H14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	340	14	0	9	625	1	I14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	313	14	0	10	625	1	J14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	125	14	0	11	312.5	1	K14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	175	14	0	12	312.5	1	L14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	52	14	0	13	156.25	1	M14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	70	14	0	14	156.25	1	N14	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2788	15	0	3	5000	1	C15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2832	15	0	4	5000	1	D15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1491	15	0	5	2500	1	E15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1443	15	0	6	2500	1	F15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	661	15	0	7	1250	1	G15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	684	15	0	8	1250	1	H15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	313	15	0	9	625	1	I15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	309	15	0	10	625	1	J15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	171	15	0	11	312.5	1	K15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	192	15	0	12	312.5	1	L15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	50	15	0	13	156.25	1	M15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	83	15	0	14	156.25	1	N15	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2756	16	0	3	5000	1	C16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2835	16	0	4	5000	1	D16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1424	16	0	5	2500	1	E16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1443	16	0	6	2500	1	F16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	744	16	0	7	1250	1	G16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	674	16	0	8	1250	1	H16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	291	16	0	9	625	1	I16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	334	16	0	10	625	1	J16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	177	16	0	11	312.5	1	K16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	176	16	0	12	312.5	1	L16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	81	16	0	13	156.25	1	M16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	85	16	0	14	156.25	1	N16	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2745	17	0	3	5000	1	C17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2886	17	0	4	5000	1	D17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1503	17	0	5	2500	1	E17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1417	17	0	6	2500	1	F17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	707	17	0	7	1250	1	G17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	746	17	0	8	1250	1	H17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	302	17	0	9	625	1	I17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	305	17	0	10	625	1	J17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	159	17	0	11	312.5	1	K17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	162	17	0	12	312.5	1	L17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	68	17	0	13	156.25	1	M17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	70	17	0	14	156.25	1	N17	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2746	18	0	3	5000	1	C18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2848	18	0	4	5000	1	D18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1499	18	0	5	2500	1	E18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1543	18	0	6	2500	1	F18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	762	18	0	7	1250	1	G18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	732	18	0	8	1250	1	H18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	330	18	0	9	625	1	I18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	324	18	0	10	625	1	J18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	149	18	0	11	312.5	1	K18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	163	18	0	12	312.5	1	L18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	57	18	0	13	156.25	1	M18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	69	18	0	14	156.25	1	N18	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2790	19	0	3	5000	1	C19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2827	19	0	4	5000	1	D19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1504	19	0	5	2500	1	E19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1358	19	0	6	2500	1	F19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	678	19	0	7	1250	1	G19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	724	19	0	8	1250	1	H19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	369	19	0	9	625	1	I19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	305	19	0	10	625	1	J19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	143	19	0	11	312.5	1	K19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	158	19	0	12	312.5	1	L19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	69	19	0	13	156.25	1	M19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	61	19	0	14	156.25	1	N19	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2898	20	0	3	5000	1	C20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2983	20	0	4	5000	1	D20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1419	20	0	5	2500	1	E20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1404	20	0	6	2500	1	F20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	669	20	0	7	1250	1	G20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	712	20	0	8	1250	1	H20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	293	20	0	9	625	1	I20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	347	20	0	10	625	1	J20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	155	20	0	11	312.5	1	K20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	136	20	0	12	312.5	1	L20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	51	20	0	13	156.25	1	M20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	50	20	0	14	156.25	1	N20	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2705	21	0	3	5000	1	C21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2870	21	0	4	5000	1	D21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1448	21	0	5	2500	1	E21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1413	21	0	6	2500	1	F21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	710	21	0	7	1250	1	G21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	604	21	0	8	1250	1	H21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	328	21	0	9	625	1	I21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	325	21	0	10	625	1	J21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	154	21	0	11	312.5	1	K21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	159	21	0	12	312.5	1	L21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	57	21	0	13	156.25	1	M21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	78	21	0	14	156.25	1	N21	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2804	22	0	3	5000	1	C22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2770	22	0	4	5000	1	D22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1413	22	0	5	2500	1	E22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1417	22	0	6	2500	1	F22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	663	22	0	7	1250	1	G22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	635	22	0	8	1250	1	H22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	276	22	0	9	625	1	I22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	309	22	0	10	625	1	J22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	160	22	0	11	312.5	1	K22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	134	22	0	12	312.5	1	L22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	80	22	0	13	156.25	1	M22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	60	22	0	14	156.25	1	N22	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2707	23	0	3	5000	1	C23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2826	23	0	4	5000	1	D23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1354	23	0	5	2500	1	E23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1335	23	0	6	2500	1	F23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	623	23	0	7	1250	1	G23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	655	23	0	8	1250	1	H23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	269	23	0	9	625	1	I23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	281	23	0	10	625	1	J23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	147	23	0	11	312.5	1	K23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	139	23	0	12	312.5	1	L23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	63	23	0	13	156.25	1	M23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	61	23	0	14	156.25	1	N23	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	7204	2	1	3	5000	0	C02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	6995	2	1	4	5000	0	D02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	4265	2	1	5	2500	0	E02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	3667	2	1	6	2500	0	F02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	1469	2	1	7	1250	0	G02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	1817	2	1	8	1250	0	H02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	644	2	1	9	625	0	I02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	564	2	1	10	625	0	J02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	265	2	1	11	312.5	0	K02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	276	2	1	12	312.5	0	L02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	82	2	1	13	156.25	0	M02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	96	2	1	14	156.25	0	N02	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	6548	3	1	4	5000	0	D03	OSI906	-	1	72	trt_cp	20140523_Bati
BT20	3752	3	1	6	2500	0	F03	OSI906	-	1	72	trt_cp	20140523_Bati
BT20	1819	3	1	8	1250	0	H03	OSI906	-	1	72	trt_cp	20140523_Bati
BT20	692	3	1	10	625	0	J03	OSI906	-	1	72	trt_cp	20140523_Bati
BT20	230	3	1	12	312.5	0	L03	OSI906	-	1	72	trt_cp	20140523_Bati
BT20	90	3	1	14	156.25	0	N03	OSI906	-	1	72	trt_cp	20140523_Bati
BT20	7309	3	1	3	5000	0	C03	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	4520	3	1	5	2500	0	E03	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	1532	3	1	7	1250	0	G03	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	857	3	1	9	625	0	I03	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	268	3	1	11	312.5	0	K03	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	140	3	1	13	156.25	0	M03	-	-	0	72	ctl_vehicle	20140523_Bati
BT20	7530	4	1	3	5000	0	C04	Erlotinib	-	0.0033333	72	trt_cp	20140523_Bati
BT20	6854	4	1	4	5000	0	D04	Erlotinib	-	0.31623	72	trt_cp	20140523_Bati
BT20	3934	4	1	5	2500	0	E04	Erlotinib	-	0.0033333	72	trt_cp	20140523_Bati
BT20	3694	4	1	6	2500	0	F04	Erlotinib	-	0.31623	72	trt_cp	20140523_Bati
BT20	1843	4	1	7	1250	0	G04	Erlotinib	-	0.0033333	72	trt_cp	20140523_Bati
BT20	1596	4	1	8	1250	0	H04	Erlotinib	-	0.31623	72	trt_cp	20140523_Bati
BT20	818	4	1	9	625	0	I04	Erlotinib	-	0.0033333	72	trt_cp	20140523_Bati
BT20	809	4	1	10	625	0	J04	Erlotinib	-	0.31623	72	trt_cp	20140523_Bati
BT20	321	4	1	11	312.5	0	K04	Erlotinib	-	0.0033333	72	trt_cp	20140523_Bati
BT20	306	4	1	12	312.5	0	L04	Erlotinib	-	0.31623	72	trt_cp	20140523_Bati
BT20	75	4	1	13	156.25	0	M04	Erlotinib	-	0.0033333	72	trt_cp	20140523_Bati
BT20	169	4	1	14	156.25	0	N04	Erlotinib	-	0.31623	72	trt_cp	20140523_Bati
BT20	7577	5	1	3	5000	0	C05	17-AAG	-	0.001	72	trt_cp	20140523_Bati
BT20	4172	5	1	5	2500	0	E05	17-AAG	-	0.001	72	trt_cp	20140523_Bati
